date,department,model,requests,tokens,energy_per_request_wh
2026-09-01,Education,SmallModel,1200,350000,0.8
2026-09-01,Research,LargeModel,500,800000,3.5
2026-09-02,Education,SmallModel,1500,420000,0.8
2026-09-02,Marketing,MediumModel,900,500000,1.8
2026-09-03,Research,LargeModel,700,1100000,3.5
2026-09-03,Education,SmallModel,1800,500000,0.8
2026-09-04,Marketing,MediumModel,1200,700000,1.8
2026-09-04,Research,LargeModel,800,1300000,3.5
2026-09-05,Education,SmallModel,2200,650000,0.8
2026-09-05,Marketing,MediumModel,1000,600000,1.8
2026-09-06,Research,LargeModel,650,950000,3.5
2026-09-06,Education,SmallModel,1900,540000,0.8
2026-09-07,Marketing,MediumModel,1100,680000,1.8
2026-09-07,Education,SmallModel,2100,620000,0.8
2026-09-08,Research,LargeModel,900,1450000,3.5
2026-09-08,Marketing,MediumModel,1300,750000,1.8
2026-09-09,Education,SmallModel,2400,700000,0.8
2026-09-09,Research,LargeModel,750,1200000,3.5
2026-09-10,Marketing,MediumModel,1150,720000,1.8
2026-09-10,Education,SmallModel,2000,580000,0.8
